Activity Type,Date,Distance,Time,Avg Pace,Best Pace,Total Ascent,Total Descent,Elapsed Time,Min Elevation,Max Elevation
Running,17/09/2023 7:26,42.82,5:15:06,7:22,2:22,305,334,5:15:06,4,64
Running,14/09/2023 18:17,4.32,0:27:29,6:22,5:34,7,10,0:27:29,3,8
Running,12/09/2023 17:55,7.6,0:50:38,6:40,5:06,17,15,0:51:12,3,10
Running,10/09/2023 10:36,16.89,1:55:05,6:49,5:14,39,33,2:06:57,4,10
Running,9/09/2023 12:39,8.5,0:55:39,6:33,4:47,21,19,0:58:21,3,10
Running,8/09/2023 16:24,8.5,0:56:31,6:39,4:42,30,34,0:58:39,2,8
Running,6/09/2023 16:15,7.01,0:41:06,5:52,4:42,40,38,0:44:04,2,10
Running,5/09/2023 17:15,7.41,0:52:25,7:04,3:27,9,13,0:55:11,2,8
Running,3/09/2023 10:05,25.01,2:46:02,6:38,5:06,57,46,3:03:26,4,12
Running,31/08/2023 19:15,8.01,0:46:43,5:50,4:18,18,17,0:50:27,3,8
Running,30/08/2023 18:39,5.07,0:31:04,6:07,4:27,11,8,0:31:53,4,9
Running,30/08/2023 18:04,5.08,0:32:00,6:18,4:34,8,8,0:33:39,3,8
Running,29/08/2023 15:49,8.01,0:45:14,5:39,4:29,20,24,0:55:45,3,12
Running,27/08/2023 10:01,31.04,3:31:12,6:48,4:47,71,58,3:59:57,3,12
Running,24/08/2023 17:52,8.01,0:53:07,6:38,5:08,15,17,0:57:08,3,10
Running,23/08/2023 17:34,10.01,1:02:36,6:15,3:56,17,18,1:11:20,2,10
Running,20/08/2023 10:28,34.81,3:57:30,6:49,4:45,81,72,4:23:11,4,12
Running,17/08/2023 17:31,7.88,0:53:27,6:47,5:17,16,18,0:57:05,4,10
Running,16/08/2023 17:22,6.92,0:43:07,6:14,3:39,18,10,0:47:08,4,8
Running,15/08/2023 17:32,10.01,1:05:33,6:33,4:41,16,18,1:14:32,3,10
Running,13/08/2023 8:42,14.09,1:27:15,6:12,2:46,201,216,1:27:15,6,84
Running,11/08/2023 16:40,4.8,0:30:27,6:21,4:09,7,9,0:33:19,3,9
Running,9/08/2023 15:29,30.01,3:28:32,6:57,5:14,102,99,3:51:23,2,11
Running,7/08/2023 16:55,7.01,0:46:08,6:35,3:18,10,20,0:50:01,4,10
Running,5/08/2023 10:50,26.35,3:01:26,6:53,5:10,61,54,3:31:00,4,12
Running,4/08/2023 16:51,5.07,0:32:25,6:24,3:00,10,10,0:35:31,3,9
Running,2/08/2023 16:43,8.01,0:53:49,6:43,5:50,15,15,1:00:18,5,11
Running,31/07/2023 16:31,10.01,1:08:44,6:52,4:02,20,17,1:18:02,2,10
Running,30/07/2023 11:04,16.8,1:52:24,6:41,5:01,43,40,2:09:59,4,12
Running,29/07/2023 11:01,5.01,0:31:57,6:23,2:42,14,9,0:37:39,3,10
Running,26/07/2023 17:14,6.01,0:40:35,6:45,5:42,12,11,0:45:33,3,9
Running,23/07/2023 10:29,32.01,3:33:28,6:40,4:26,66,67,3:50:38,3,11
Running,22/07/2023 10:25,5.01,0:33:43,6:44,4:33,11,11,0:36:00,4,10
Running,19/07/2023 18:04,6.64,0:45:40,6:53,3:45,9,12,0:45:48,3,7
Running,18/07/2023 16:44,8.01,0:54:49,6:51,5:23,16,17,0:57:46,3,10
Running,16/07/2023 16:47,5.01,0:32:24,6:28,5:06,5,8,0:32:33,2,9
Running,15/07/2023 12:21,25.04,3:08:33,7:32,4:01,354,361,3:55:24,2,162
Running,2/05/2022 11:04,10.01,0:55:26,5:32,4:24,20,44,0:55:26,-25,11
Running,23/04/2022 11:16,10.01,1:01:01,6:06,4:54,16,38,1:02:03,22,51
Running,5/10/2021 6:12,5.01,0:30:02,6:00,4:01,5,20,0:31:09,-34,-12
Running,18/09/2021 18:05,6.78,0:39:59,5:54,4:37,9,27,0:40:01,41,63
