,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,start_date,start_date_local,timezone,utc_offset,Runner
0,43222,16694,17045,374.2,Run,Run,0,2023-09-16T21:35:08Z,2023-09-17T07:35:08Z,(GMT+10:00) Australia/Sydney,36000,AJ
1,7048.6,2294,2362,87.3,Run,Run,,2023-09-11T08:02:04Z,2023-09-11T18:02:04Z,(GMT+10:00) Australia/Sydney,36000,AJ
2,14521.9,4681,4717,96.9,Run,Run,0,2023-09-06T07:38:34Z,2023-09-06T17:38:34Z,(GMT+10:00) Australia/Sydney,36000,AJ
3,32230.3,12010,14358,487.6,Run,Run,0,2023-09-02T01:51:26Z,2023-09-02T11:51:26Z,(GMT+10:00) Australia/Sydney,36000,AJ
4,25462.3,9636,10424,66.5,Run,Run,0,2023-08-28T06:30:32Z,2023-08-28T16:30:32Z,(GMT+10:00) Australia/Sydney,36000,AJ
5,14690.8,4327,4360,197.8,Run,Run,0,2023-08-12T22:42:50Z,2023-08-13T08:42:50Z,(GMT+10:00) Australia/Sydney,36000,AJ
6,18496.5,6878,6982,29.8,Run,Run,,2023-08-07T07:30:53Z,2023-08-07T17:30:53Z,(GMT+10:00) Australia/Sydney,36000,AJ
7,13893.1,5037,5338,112.8,Run,Run,0,2023-08-06T00:22:33Z,2023-08-06T10:22:33Z,(GMT+10:00) Australia/Melbourne,36000,AJ
8,26216.9,9656,11943,586.2,Run,Run,0,2023-07-28T23:05:54Z,2023-07-29T09:05:54Z,(GMT+10:00) Australia/Sydney,36000,AJ
9,12011,3246,3255,46.4,Run,Run,0,2023-07-18T07:06:33Z,2023-07-18T17:06:33Z,(GMT+10:00) Australia/Sydney,36000,AJ
10,21341.7,6099,6186,87.8,Run,Run,0,2023-07-07T08:31:30Z,2023-07-07T18:31:30Z,(GMT+10:00) Australia/Sydney,36000,AJ
11,8283.2,2062,2108,109.9,Run,Run,0,2023-07-03T07:25:23Z,2023-07-03T17:25:23Z,(GMT+10:00) Australia/Sydney,36000,AJ
12,12067.7,3496,3520,60.1,Run,Run,0,2023-06-29T06:17:43Z,2023-06-29T16:17:43Z,(GMT+10:00) Australia/Sydney,36000,AJ
13,10010.7,2993,3022,53,Run,Run,0,2023-06-23T07:11:05Z,2023-06-23T17:11:05Z,(GMT+10:00) Australia/Sydney,36000,AJ
14,10094.9,2913,2915,49.8,Run,Run,0,2023-06-18T06:39:34Z,2023-06-18T16:39:34Z,(GMT+10:00) Australia/Sydney,36000,AJ
15,12205,3531,3542,64.8,Run,Run,0,2023-06-02T06:02:49Z,2023-06-02T16:02:49Z,(GMT+10:00) Australia/Sydney,36000,AJ
16,11016.9,3126,3127,57.3,Run,Run,0,2023-05-31T06:42:41Z,2023-05-31T16:42:41Z,(GMT+10:00) Australia/Sydney,36000,AJ
17,428.8,134,141,53.5,Run,Run,0,2023-05-27T23:53:33Z,2023-05-28T09:53:33Z,(GMT+10:00) Australia/Sydney,36000,AJ
18,11266.9,3364,3413,50.4,Run,Run,0,2023-05-27T03:49:25Z,2023-05-27T13:49:25Z,(GMT+10:00) Australia/Sydney,36000,AJ
19,14869.9,4523,5811,142.8,Run,Run,0,2023-05-21T04:28:18Z,2023-05-21T14:28:18Z,(GMT+10:00) Australia/Sydney,36000,AJ
20,12231,3615,3615,63.4,Run,Run,0,2023-05-17T07:46:48Z,2023-05-17T17:46:48Z,(GMT+10:00) Australia/Sydney,36000,AJ
21,14211.8,4385,4537,157.1,Run,Run,0,2023-05-08T07:46:20Z,2023-05-08T17:46:20Z,(GMT+10:00) Australia/Sydney,36000,AJ
22,10503.9,3325,3332,52.2,Run,Run,0,2023-05-03T08:38:11Z,2023-05-03T18:38:11Z,(GMT+10:00) Australia/Sydney,36000,AJ
23,15000,4920,4920,0,Run,Run,0,2023-04-29T19:17:17Z,2023-04-29T19:17:17Z,(GMT+00:00) GMT,0,AJ
24,10000,3150,3150,0,Run,Run,0,2023-04-28T03:28:00Z,2023-04-28T03:28:00Z,(GMT+00:00) GMT,0,AJ
25,15000,4920,4920,0,Run,Run,,2023-04-26T23:30:41Z,2023-04-26T23:30:41Z,(GMT+00:00) GMT,0,AJ
26,10000,3190,3190,0,Run,Run,,2023-04-24T20:37:35Z,2023-04-24T20:37:35Z,(GMT+00:00) GMT,0,AJ
27,16100,5302,5302,0,Run,Run,0,2023-04-23T03:05:12Z,2023-04-23T03:05:12Z,(GMT+00:00) GMT,0,AJ
28,15197.4,5065,5113,97.9,Run,Run,0,2023-04-17T07:33:58Z,2023-04-17T17:33:58Z,(GMT+10:00) Australia/Sydney,36000,AJ
29,11761.2,3664,3668,57.2,Run,Run,0,2023-04-11T07:39:37Z,2023-04-11T17:39:37Z,(GMT+10:00) Australia/Sydney,36000,AJ
30,14035.8,4533,4652,90.6,Run,Run,0,2023-04-04T07:39:10Z,2023-04-04T17:39:10Z,(GMT+10:00) Australia/Sydney,36000,AJ
31,12015.2,3994,3995,57.3,Run,Run,0,2023-03-29T06:08:26Z,2023-03-29T17:08:26Z,(GMT+10:00) Australia/Sydney,39600,AJ
32,10110.8,3174,3174,52.4,Run,Run,0,2023-03-21T07:22:47Z,2023-03-21T18:22:47Z,(GMT+10:00) Australia/Sydney,39600,AJ
33,5021.6,1280,1280,8.5,Run,Run,0,2022-11-15T07:21:41Z,2022-11-15T18:21:41Z,(GMT+10:00) Australia/Sydney,39600,AJ
34,5591.6,1431,1461,50.7,Run,Run,0,2022-10-26T07:32:29Z,2022-10-26T18:32:29Z,(GMT+10:00) Australia/Sydney,39600,AJ
35,10000,2937,2937,0,Run,Run,,2022-10-19T01:00:37Z,2022-10-19T01:00:37Z,(GMT+00:00) GMT,0,AJ
36,5003,1269,1269,8.5,Run,Run,0,2022-10-04T05:52:38Z,2022-10-04T16:52:38Z,(GMT+10:00) Australia/Sydney,39600,AJ
37,5009.4,1335,1365,8.5,Run,Run,0,2022-09-26T07:40:10Z,2022-09-26T17:40:10Z,(GMT+10:00) Australia/Sydney,36000,AJ
38,10007,2816,2816,74.6,Run,Run,0,2022-08-30T05:06:20Z,2022-08-30T15:06:20Z,(GMT+10:00) Australia/Sydney,36000,AJ
39,14807.8,4051,4082,197.1,Run,Run,0,2022-08-13T22:23:42Z,2022-08-14T08:23:42Z,(GMT+10:00) Australia/Sydney,36000,AJ
40,10018.3,2685,2685,75.3,Run,Run,0,2022-08-11T06:38:22Z,2022-08-11T16:38:22Z,(GMT+10:00) Australia/Sydney,36000,AJ
41,5000.1,1303,1303,10.7,Run,Run,0,2022-08-08T08:08:03Z,2022-08-08T18:08:03Z,(GMT+10:00) Australia/Sydney,36000,AJ
42,5015.1,1221,1221,8.5,Run,Run,0,2022-07-25T06:49:12Z,2022-07-25T16:49:12Z,(GMT+10:00) Australia/Sydney,36000,AJ
43,5011.9,1224,1224,8.5,Run,Run,0,2022-07-23T05:06:48Z,2022-07-23T15:06:48Z,(GMT+10:00) Australia/Sydney,36000,AJ
44,5012,1299,1299,8.5,Run,Run,0,2022-07-20T07:11:47Z,2022-07-20T17:11:47Z,(GMT+10:00) Australia/Sydney,36000,AJ
45,19931.8,7528,11456,466.8,Run,Run,0,2022-07-17T00:10:59Z,2022-07-17T10:10:59Z,(GMT+10:00) Australia/Sydney,36000,AJ
46,5012.7,1252,1252,8.5,Run,Run,0,2022-07-14T06:26:25Z,2022-07-14T16:26:25Z,(GMT+10:00) Australia/Sydney,36000,AJ
47,5000,1330,1330,0,Run,Run,,2022-07-12T00:54:25Z,2022-07-12T00:54:25Z,(GMT+00:00) GMT,0,AJ
48,10000,3070,3070,0,Run,Run,,2022-07-04T21:31:29Z,2022-07-04T21:31:29Z,(GMT+00:00) GMT,0,AJ
49,5015.4,1271,1275,10.9,Run,Run,0,2022-05-31T07:59:38Z,2022-05-31T17:59:38Z,(GMT+10:00) Australia/Sydney,36000,AJ
50,5035.7,1294,1294,7.7,Run,Run,0,2022-05-23T07:50:02Z,2022-05-23T17:50:02Z,(GMT+10:00) Australia/Sydney,36000,AJ
51,5037.2,1354,1354,34.2,Run,Run,0,2022-05-17T07:22:31Z,2022-05-17T17:22:31Z,(GMT+10:00) Australia/Sydney,36000,AJ
52,13242.5,2890,3250,184.9,Ride,Ride,,2013-01-26T19:47:21Z,2013-01-27T08:47:21Z,(GMT+12:00) Pacific/Auckland,46800,AJ
