,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,start_date,start_date_local,timezone,utc_offset,Runner
0,44355.7,14016,14081,453.7,Run,Run,1,2023-09-16T21:18:32Z,2023-09-17T07:18:32Z,(GMT+10:00) Australia/Sydney,36000,Jack
1,5005.2,1391,94601,52.5,Run,Run,3,2023-09-14T21:09:54Z,2023-09-15T07:09:54Z,(GMT+10:00) Australia/Sydney,36000,Jack
2,7015.9,2280,2632,170.1,Run,Run,3,2023-09-12T19:43:42Z,2023-09-13T07:43:42Z,(GMT+12:00) Pacific/Auckland,43200,Jack
3,11265.2,3058,22865,104.1,Run,Run,3,2023-09-10T21:18:51Z,2023-09-11T07:18:51Z,(GMT+10:00) Australia/Sydney,36000,Jack
4,18631.4,5605,5644,274.7,Run,Run,2,2023-09-08T22:30:40Z,2023-09-09T08:30:40Z,(GMT+10:00) Australia/Sydney,36000,Jack
5,11152.2,3590,3721,104.7,Run,Run,3,2023-09-04T21:13:45Z,2023-09-05T07:13:45Z,(GMT+10:00) Australia/Sydney,36000,Jack
6,32003.1,9760,10773,294.8,Run,Run,2,2023-09-02T21:42:39Z,2023-09-03T07:42:39Z,(GMT+10:00) Australia/Sydney,36000,Jack
7,10007.8,2699,3387,31.9,Run,Run,3,2023-08-29T20:53:42Z,2023-08-30T06:53:42Z,(GMT+10:00) Australia/Melbourne,36000,Jack
8,22734.9,6294,7334,156.4,Run,Run,3,2023-08-23T19:59:33Z,2023-08-24T05:59:33Z,(GMT+10:00) Australia/Sydney,36000,Jack
9,8502.2,2146,2780,44.3,Run,Run,3,2023-08-15T09:01:15Z,2023-08-15T19:01:15Z,(GMT+10:00) Australia/Sydney,36000,Jack
10,14409.5,3708,3739,197.4,Run,Run,1,2023-08-12T21:41:13Z,2023-08-13T07:41:13Z,(GMT+10:00) Australia/Sydney,36000,Jack
11,8554.7,2228,2878,39.2,Run,Run,3,2023-08-08T08:56:11Z,2023-08-08T18:56:11Z,(GMT+10:00) Australia/Sydney,36000,Jack
12,8403.8,2256,2583,69.4,Run,Run,3,2023-08-04T22:22:17Z,2023-08-05T08:22:17Z,(GMT+10:00) Australia/Sydney,36000,Jack
13,13039.9,4949,5900,398.6,Run,TrailRun,3,2023-08-02T21:27:49Z,2023-08-03T07:27:49Z,(GMT+10:00) Australia/Sydney,36000,Jack
14,34096.4,10319,10687,208.9,Run,Run,2,2023-07-23T19:54:43Z,2023-07-24T05:54:43Z,(GMT+10:00) Australia/Sydney,36000,Jack
15,27253.8,8710,9921,421,Run,Run,2,2023-07-16T02:26:52Z,2023-07-16T12:26:52Z,(GMT+10:00) Australia/Sydney,36000,Jack
16,22833.9,7720,13738,162.9,Run,Run,2,2023-07-07T21:37:19Z,2023-07-08T07:37:19Z,(GMT+10:00) Australia/Melbourne,36000,Jack
17,12005.5,3347,4052,103.5,Run,Run,3,2023-06-25T04:07:21Z,2023-06-25T14:07:21Z,(GMT+10:00) Australia/Sydney,36000,Jack
18,22410.4,5984,6019,168.5,Run,Run,1,2023-05-20T21:53:47Z,2023-05-21T07:53:47Z,(GMT+10:00) Australia/Sydney,36000,Jack
19,9191.4,2457,2477,39.7,Run,Run,3,2023-05-16T21:44:42Z,2023-05-17T07:44:42Z,(GMT+10:00) Australia/Brisbane,36000,Jack
20,21100.5,6745,7167,99.8,Run,Run,2,2023-05-10T20:50:24Z,2023-05-11T06:50:24Z,(GMT+10:00) Australia/Brisbane,36000,Jack
21,23410.4,6551,6787,156.3,Run,Run,2,2023-05-04T21:17:42Z,2023-05-05T07:17:42Z,(GMT+10:00) Australia/Sydney,36000,Jack
22,8613,2221,2918,41.8,Run,Run,0,2023-05-02T08:42:09Z,2023-05-02T18:42:09Z,(GMT+10:00) Australia/Sydney,36000,Jack
23,3504.4,1633,1716,22.3,Run,Run,0,2023-04-24T08:14:46Z,2023-04-24T16:14:46Z,(GMT+08:00) Australia/Perth,28800,Jack
24,22001.2,6371,8178,227.1,Run,Run,2,2023-04-23T00:36:23Z,2023-04-23T08:36:23Z,(GMT+08:00) Australia/Perth,28800,Jack
25,5003.3,1184,1406,9.5,Run,Run,3,2023-04-18T02:10:31Z,2023-04-18T10:10:31Z,(GMT+08:00) Australia/Perth,28800,Jack
26,11003.7,2849,3061,105.9,Run,Run,0,2023-04-15T23:14:37Z,2023-04-16T07:14:37Z,(GMT+08:00) Australia/Perth,28800,Jack
27,8768.5,2236,2932,34.5,Run,Run,3,2023-04-11T08:46:57Z,2023-04-11T18:46:57Z,(GMT+10:00) Australia/Sydney,36000,Jack
28,13410.9,3603,3906,81.3,Run,Run,3,2023-04-07T01:52:55Z,2023-04-07T11:52:55Z,(GMT+10:00) Australia/Melbourne,36000,Jack
29,11803.1,3198,3383,104.7,Run,Run,3,2023-03-24T20:37:34Z,2023-03-25T07:37:34Z,(GMT+10:00) Australia/Sydney,39600,Jack
30,11683.7,3528,3691,104.3,Run,Run,2,2023-03-17T23:22:37Z,2023-03-18T10:22:37Z,(GMT+10:00) Australia/Sydney,39600,Jack
31,7804.8,2179,2288,86.6,Run,Run,3,2023-03-16T19:48:57Z,2023-03-17T06:48:57Z,(GMT+10:00) Australia/Sydney,39600,Jack
32,11311.1,3401,3653,153.9,Run,Run,3,2023-03-04T22:57:33Z,2023-03-05T09:57:33Z,(GMT+10:00) Australia/Sydney,39600,Jack
33,2004.5,464,464,42.6,Run,Run,1,2023-02-28T07:52:00Z,2023-02-28T18:52:00Z,(GMT+10:00) Australia/Sydney,39600,Jack
34,12679.1,3610,3847,89,Run,Run,3,2023-02-08T20:56:45Z,2023-02-09T06:56:45Z,(GMT+10:00) Australia/Brisbane,36000,Jack
35,8806.2,2466,2656,132.8,Run,Run,3,2023-02-04T23:48:42Z,2023-02-05T10:48:42Z,(GMT+10:00) Australia/Sydney,39600,Jack
36,2003.6,474,474,48.1,Run,Run,3,2023-01-31T07:57:28Z,2023-01-31T18:57:28Z,(GMT+10:00) Australia/Sydney,39600,Jack
37,11272,3488,3519,64,Run,Run,3,2023-01-25T21:51:45Z,2023-01-26T08:51:45Z,(GMT+10:00) Australia/Sydney,39600,Jack
38,8514.2,2957,3007,2.2,Run,Run,3,2023-01-09T21:26:59Z,2023-01-10T07:26:59Z,(GMT+10:00) Australia/Brisbane,36000,Jack
39,9362.3,2807,2955,73.2,Run,Run,3,2022-12-26T22:15:06Z,2022-12-27T09:15:06Z,(GMT+10:00) Australia/Sydney,39600,Jack
40,18427.9,5588,6213,134,Run,Run,0,2022-12-10T01:11:30Z,2022-12-10T12:11:30Z,(GMT+10:00) Australia/Sydney,39600,Jack
41,8888.3,2764,3315,132.8,Run,Run,2,2022-12-03T01:21:56Z,2022-12-03T12:21:56Z,(GMT+10:00) Australia/Sydney,39600,Jack
42,15002.7,4578,5977,115.9,Run,Run,2,2022-11-27T01:12:30Z,2022-11-27T12:12:30Z,(GMT+10:00) Australia/Sydney,39600,Jack
43,6740.6,1921,2121,87.2,Run,Run,3,2022-11-04T23:20:45Z,2022-11-05T10:20:45Z,(GMT+10:00) Australia/Sydney,39600,Jack
44,6693.7,2029,2779,82.2,Run,Run,3,2022-10-30T01:58:42Z,2022-10-30T12:58:42Z,(GMT+10:00) Australia/Sydney,39600,Jack
45,3578.8,998,1039,26.7,Run,Run,3,2022-08-07T21:35:47Z,2022-08-08T07:35:47Z,(GMT+10:00) Australia/Brisbane,36000,Jack
46,6102.8,1651,1656,30.1,Run,Run,0,2022-07-07T17:03:37Z,2022-07-07T18:03:37Z,(GMT+00:00) Europe/London,3600,Jack
