,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,start_date,start_date_local,timezone,utc_offset,Runner
0,14744.8,5458,6741,114.8,Run,Run,0,2023-06-12T16:08:13Z,2023-06-12T17:08:13Z,(GMT+00:00) Europe/London,3600,Rob
1,5007.8,1574,1691,6.7,Run,Run,0,2023-04-29T04:50:58Z,2023-04-29T14:50:58Z,(GMT+10:00) Australia/Sydney,36000,Rob
2,8892.3,3027,3170,14.2,Run,Run,0,2023-04-16T01:22:57Z,2023-04-16T11:22:57Z,(GMT+10:00) Australia/Sydney,36000,Rob
3,6506.5,2092,2092,7.7,Run,Run,0,2023-04-15T07:14:27Z,2023-04-15T17:14:27Z,(GMT+10:00) Australia/Sydney,36000,Rob
4,7602.7,2482,3046,8,Run,Run,0,2022-12-24T01:29:28Z,2022-12-24T12:29:28Z,(GMT+10:00) Australia/Sydney,39600,Rob
5,6006.9,2025,2149,7.1,Run,Run,0,2022-12-17T03:11:31Z,2022-12-17T14:11:31Z,(GMT+10:00) Australia/Sydney,39600,Rob
6,6573.7,2285,3354,7.7,Run,Run,,2022-12-02T23:38:33Z,2022-12-03T10:38:33Z,(GMT+10:00) Australia/Sydney,39600,Rob
7,5005,1737,1831,7.9,Run,Run,0,2022-11-17T18:17:14Z,2022-11-18T05:17:14Z,(GMT+10:00) Australia/Sydney,39600,Rob
8,10008.5,3377,4105,14.4,Run,Run,0,2022-10-23T02:12:19Z,2022-10-23T13:12:19Z,(GMT+10:00) Australia/Sydney,39600,Rob
9,10005.2,3541,3911,64.7,Run,Run,0,2022-07-31T01:26:04Z,2022-07-31T11:26:04Z,(GMT+10:00) Australia/Sydney,36000,Rob
10,5009.5,1789,2087,38.9,Run,Run,0,2022-07-23T01:16:10Z,2022-07-23T11:16:10Z,(GMT+10:00) Australia/Sydney,36000,Rob
11,6203,2068,2074,35.5,Run,Run,0,2022-07-09T10:31:40Z,2022-07-09T11:31:40Z,(GMT+00:00) Europe/London,3600,Rob
12,10003.3,3720,3875,144.8,Run,Run,0,2022-07-07T15:24:15Z,2022-07-07T16:24:15Z,(GMT+00:00) Europe/London,3600,Rob
