,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,start_date,start_date_local,timezone,utc_offset,Runner
0,42748.4,13133,13163,351.9,Run,Run,0,2023-09-16T21:18:20Z,2023-09-17T07:18:20Z,(GMT+10:00) Australia/Sydney,36000,Tom
1,5017.5,1702,1770,84.6,Run,Run,0,2023-09-15T07:01:31Z,2023-09-15T17:01:31Z,(GMT+10:00) Australia/Sydney,36000,Tom
2,6005.3,2054,2061,17.6,Run,Run,0,2023-09-13T20:52:25Z,2023-09-14T06:52:25Z,(GMT+10:00) Australia/Brisbane,36000,Tom
3,8541.4,2890,2914,32.3,Run,Run,0,2023-09-11T20:48:11Z,2023-09-12T06:48:11Z,(GMT+10:00) Australia/Brisbane,36000,Tom
4,8153.8,2870,2953,91,Run,Run,0,2023-09-10T20:35:17Z,2023-09-11T06:35:17Z,(GMT+10:00) Australia/Brisbane,36000,Tom
5,19029.3,6559,7662,116.4,Run,Run,0,2023-09-08T21:02:12Z,2023-09-09T07:02:12Z,(GMT+10:00) Australia/Brisbane,36000,Tom
6,10012.8,3136,3136,22,Run,Run,0,2023-09-07T20:47:20Z,2023-09-08T06:47:20Z,(GMT+10:00) Australia/Brisbane,36000,Tom
7,10030,3489,3660,92,Run,Run,0,2023-09-06T20:35:06Z,2023-09-07T06:35:06Z,(GMT+10:00) Australia/Brisbane,36000,Tom
8,5954,2112,2273,41.2,Run,Run,0,2023-09-05T21:03:30Z,2023-09-06T07:03:30Z,(GMT+10:00) Australia/Brisbane,36000,Tom
9,9094,2988,3000,23.8,Run,Run,0,2023-09-05T07:25:17Z,2023-09-05T17:25:17Z,(GMT+10:00) Australia/Brisbane,36000,Tom
10,26012.2,7609,7929,98.3,Run,Run,0,2023-09-02T23:40:22Z,2023-09-03T09:40:22Z,(GMT+10:00) Australia/Brisbane,36000,Tom
11,9329.6,3181,3988,116,Run,Run,0,2023-08-31T20:39:44Z,2023-09-01T06:39:44Z,(GMT+10:00) Australia/Brisbane,36000,Tom
12,10441.7,3067,3166,36,Run,Run,0,2023-08-29T20:48:50Z,2023-08-30T06:48:50Z,(GMT+10:00) Australia/Brisbane,36000,Tom
13,10003.3,3594,3722,83.4,Run,Run,0,2023-08-28T20:17:17Z,2023-08-29T06:17:17Z,(GMT+10:00) Australia/Brisbane,36000,Tom
14,37009.5,11365,11822,232.4,Run,Run,0,2023-08-26T21:52:34Z,2023-08-27T07:52:34Z,(GMT+10:00) Australia/Brisbane,36000,Tom
15,11539.6,3751,4020,69.6,Run,Run,0,2023-08-25T22:00:52Z,2023-08-26T08:00:52Z,(GMT+10:00) Australia/Brisbane,36000,Tom
16,14010,4266,4269,33.3,Run,Run,0,2023-08-24T20:51:31Z,2023-08-25T06:51:31Z,(GMT+10:00) Australia/Brisbane,36000,Tom
